"event_name","sport"
"Men's Individual","Archery"
"Women's Individual","Archery"
"Men's Team","Archery"
"Women's Team","Archery"
"Mixed Team","Archery"
"Men's Team","Artistic Gymnastics"
"Men's All-Around","Artistic Gymnastics"
"Men's Floor Exercise","Artistic Gymnastics"
"Men's Pommel Horse","Artistic Gymnastics"
"Men's Rings","Artistic Gymnastics"
"Men's Vault","Artistic Gymnastics"
"Men's Parallel Bars","Artistic Gymnastics"
"Men's Horizontal Bar","Artistic Gymnastics"
"Women's Team","Artistic Gymnastics"
"Women's All-Around","Artistic Gymnastics"
"Women's Vault","Artistic Gymnastics"
"Women's Uneven Bars","Artistic Gymnastics"
"Women's Balance Beam","Artistic Gymnastics"
"Women's Floor Exercise","Artistic Gymnastics"
"Duet","Artistic Swimming"
"Team","Artistic Swimming"
"Men's 100m","Athletics"
"Men's 200m","Athletics"
"Men's 400m","Athletics"
"Men's 800m","Athletics"
"Men's 1500m","Athletics"
"Men's 5000m","Athletics"
"Men's 10,000m","Athletics"
"Men's Marathon","Athletics"
"Men's 3000m Steeplechase","Athletics"
"Men's 110m Hurdles","Athletics"
"Men's 400m Hurdles","Athletics"
"Men's High Jump","Athletics"
"Men's Pole Vault","Athletics"
"Men's Long Jump","Athletics"
"Men's Triple Jump","Athletics"
"Men's Shot Put","Athletics"
"Men's Discus Throw","Athletics"
"Men's Hammer Throw","Athletics"
"Men's Javelin Throw","Athletics"
"Men's Decathlon","Athletics"
"Men's 20km Race Walk","Athletics"
"Men's 4 x 100m Relay","Athletics"
"Men's 4 x 400m Relay","Athletics"
"Women's 100m","Athletics"
"Women's 200m","Athletics"
"Women's 400m","Athletics"
"Women's 800m","Athletics"
"Women's 1500m","Athletics"
"Women's 5000m","Athletics"
"Women's 10,000m","Athletics"
"Women's Marathon","Athletics"
"Women's 3000m Steeplechase","Athletics"
"Women's 100m Hurdles","Athletics"
"Women's 400m Hurdles","Athletics"
"Women's High Jump","Athletics"
"Women's Pole Vault","Athletics"
"Women's Long Jump","Athletics"
"Women's Triple Jump","Athletics"
"Women's Shot Put","Athletics"
"Women's Discus Throw","Athletics"
"Women's Hammer Throw","Athletics"
"Women's Javelin Throw","Athletics"
"Women's Heptathlon","Athletics"
"Women's 20km Race Walk","Athletics"
"Women's 4 x 100m Relay","Athletics"
"Women's 4 x 400m Relay","Athletics"
"4 x 400m Relay Mixed","Athletics"
"Marathon Race Walk Relay Mixed","Athletics"
"Men's Singles","Badminton"
"Women's Singles","Badminton"
"Men's Doubles","Badminton"
"Women's Doubles","Badminton"
"Mixed Doubles","Badminton"
"Men","Basketball"
"Women","Basketball"
"Men","3x3 Basketball"
"Women","3x3 Basketball"
"Men","Beach Volleyball"
"Women","Beach Volleyball"
"Men's 51kg","Boxing"
"Men's 57kg","Boxing"
"Men's 63.5kg","Boxing"
"Men's 71kg","Boxing"
"Men's 80kg","Boxing"
"Men's 92kg","Boxing"
"Men's +92kg","Boxing"
"Women's 50kg","Boxing"
"Women's 54kg","Boxing"
"Women's 57kg","Boxing"
"Women's 60kg","Boxing"
"Women's 66kg","Boxing"
"Women's 75kg","Boxing"
"B-Boys","Breaking"
"B-Girls","Breaking"
"Men's Kayak Single","Canoe Slalom"
"Women's Kayak Single","Canoe Slalom"
"Men's Canoe Single","Canoe Slalom"
"Women's Canoe Single","Canoe Slalom"
"Men's Kayak Cross","Canoe Slalom"
"Women's Kayak Cross","Canoe Slalom"
"Men's Kayak Single 1000m","Canoe Sprint"
"Men's Kayak Double 500m","Canoe Sprint"
"Men's Kayak Four 500m","Canoe Sprint"
"Men's Canoe Single 1000m","Canoe Sprint"
"Men's Canoe Double 500m","Canoe Sprint"
"Women's Kayak Single 500m","Canoe Sprint"
"Women's Kayak Double 500m","Canoe Sprint"
"Women's Kayak Four 500m","Canoe Sprint"
"Women's Canoe Single 200m","Canoe Sprint"
"Women's Canoe Double 500m","Canoe Sprint"
"Women's Park","Cycling BMX Freestyle"
"Men's Park","Cycling BMX Freestyle"
"Women","Cycling BMX Racing"
"Men","Cycling BMX Racing"
"Men's Cross-country","Cycling Mountain Bike"
"Women's Cross-country","Cycling Mountain Bike"
"Men's Road Race","Cycling Road"
"Women's Road Race","Cycling Road"
"Men's Individual Time Trial","Cycling Road"
"Women's Individual Time Trial","Cycling Road"
"Men's Team Sprint","Cycling Track"
"Men's Sprint","Cycling Track"
"Men's Keirin","Cycling Track"
"Men's Team Pursuit","Cycling Track"
"Men's Omnium","Cycling Track"
"Men's Madison","Cycling Track"
"Women's Team Sprint","Cycling Track"
"Women's Sprint","Cycling Track"
"Women's Keirin","Cycling Track"
"Women's Team Pursuit","Cycling Track"
"Women's Omnium","Cycling Track"
"Women's Madison","Cycling Track"
"Women's 3m Springboard","Diving"
"Women's 10m Platform","Diving"
"Women's Synchronised 3m Springboard","Diving"
"Women's Synchronised 10m Platform","Diving"
"Men's 3m Springboard","Diving"
"Men's 10m Platform","Diving"
"Men's Synchronised 3m Springboard","Diving"
"Men's Synchronised 10m Platform","Diving"
"Eventing Team","Equestrian"
"Eventing Individual","Equestrian"
"Dressage Team","Equestrian"
"Dressage Individual","Equestrian"
"Jumping Team","Equestrian"
"Jumping Individual","Equestrian"
"Women's Épée Individual","Fencing"
"Women's Foil Individual","Fencing"
"Women's Sabre Individual","Fencing"
"Men's Épée Individual","Fencing"
"Men's Foil Individual","Fencing"
"Men's Sabre Individual","Fencing"
"Women's Épée Team","Fencing"
"Women's Foil Team","Fencing"
"Women's Sabre Team","Fencing"
"Men's Épée Team","Fencing"
"Men's Foil Team","Fencing"
"Men's Sabre Team","Fencing"
"Men","Football"
"Women","Football"
"Men's Individual Stroke Play","Golf"
"Women's Individual Stroke Play","Golf"
"Men","Handball"
"Women","Handball"
"Men","Hockey"
"Women","Hockey"
"Women -48 kg","Judo"
"Women -52 kg","Judo"
"Women -57 kg","Judo"
"Women -63 kg","Judo"
"Women -70 kg","Judo"
"Women -78 kg","Judo"
"Women +78 kg","Judo"
"Men -60 kg","Judo"
"Men -66 kg","Judo"
"Men -73 kg","Judo"
"Men -81 kg","Judo"
"Men -90 kg","Judo"
"Men -100 kg","Judo"
"Men +100 kg","Judo"
"Mixed Team","Judo"
"Women's 10km","Marathon Swimming"
"Men's 10km","Marathon Swimming"
"Women's Individual","Modern Pentathlon"
"Men's Individual","Modern Pentathlon"
"Individual All-Around","Rhythmic Gymnastics"
"Group All-Around","Rhythmic Gymnastics"
"Women's Pair","Rowing"
"Men's Pair","Rowing"
"Women's Double Sculls","Rowing"
"Men's Double Sculls","Rowing"
"Women's Four","Rowing"
"Men's Four","Rowing"
"Women's Single Sculls","Rowing"
"Men's Single Sculls","Rowing"
"Lightweight Women's Double Sculls","Rowing"
"Lightweight Men's Double Sculls","Rowing"
"Women's Quadruple Sculls","Rowing"
"Men's Quadruple Sculls","Rowing"
"Women's Eight","Rowing"
"Men's Eight","Rowing"
"Men","Rugby Sevens"
"Women","Rugby Sevens"
"Men's Windsurfing","Sailing"
"Men's Kite","Sailing"
"Men's Dinghy","Sailing"
"Men's Skiff","Sailing"
"Women's Windsurfing","Sailing"
"Women's Kite","Sailing"
"Women's Dinghy","Sailing"
"Women's Skiff","Sailing"
"Mixed Dinghy","Sailing"
"Mixed Multihull","Sailing"
"10m Air Rifle Men","Shooting"
"50m Rifle 3 Positions Men","Shooting"
"10m Air Pistol Men","Shooting"
"25m Rapid Fire Pistol Men","Shooting"
"Trap Men","Shooting"
"Skeet Men","Shooting"
"10m Air Rifle Women","Shooting"
"50m Rifle 3 Positions Women","Shooting"
"10m Air Pistol Women","Shooting"
"25m Pistol Women","Shooting"
"Trap Women","Shooting"
"Skeet Women","Shooting"
"10m Air Rifle Mixed Team","Shooting"
"10m Air Pistol Mixed Team","Shooting"
"Skeet Mixed Team","Shooting"
"Women's Street","Skateboarding"
"Men's Street","Skateboarding"
"Women's Park","Skateboarding"
"Men's Park","Skateboarding"
"Women's Boulder & Lead","Sport Climbing"
"Women's Speed","Sport Climbing"
"Men's Boulder & Lead","Sport Climbing"
"Men's Speed","Sport Climbing"
"Men","Surfing"
"Women","Surfing"
"Women's 50m Freestyle","Swimming"
"Women's 100m Freestyle","Swimming"
"Women's 200m Freestyle","Swimming"
"Women's 400m Freestyle","Swimming"
"Women's 800m Freestyle","Swimming"
"Women's 1500m Freestyle","Swimming"
"Women's 100m Backstroke","Swimming"
"Women's 200m Backstroke","Swimming"
"Women's 100m Breaststroke","Swimming"
"Women's 200m Breaststroke","Swimming"
"Women's 100m Butterfly","Swimming"
"Women's 200m Butterfly","Swimming"
"Women's 200m Individual Medley","Swimming"
"Women's 400m Individual Medley","Swimming"
"Women's 4 x 100m Freestyle Relay","Swimming"
"Women's 4 x 200m Freestyle Relay","Swimming"
"Women's 4 x 100m Medley Relay","Swimming"
"Men's 50m Freestyle","Swimming"
"Men's 100m Freestyle","Swimming"
"Men's 200m Freestyle","Swimming"
"Men's 400m Freestyle","Swimming"
"Men's 800m Freestyle","Swimming"
"Men's 1500m Freestyle","Swimming"
"Men's 100m Backstroke","Swimming"
"Men's 200m Backstroke","Swimming"
"Men's 100m Breaststroke","Swimming"
"Men's 200m Breaststroke","Swimming"
"Men's 100m Butterfly","Swimming"
"Men's 200m Butterfly","Swimming"
"Men's 200m Individual Medley","Swimming"
"Men's 400m Individual Medley","Swimming"
"Men's 4 x 100m Freestyle Relay","Swimming"
"Men's 4 x 200m Freestyle Relay","Swimming"
"Men's 4 x 100m Medley Relay","Swimming"
"Mixed 4 x 100m Medley Relay","Swimming"
"Men's Singles","Table Tennis"
"Women's Singles","Table Tennis"
"Mixed Doubles","Table Tennis"
"Men's Team","Table Tennis"
"Women's Team","Table Tennis"
"Men -58kg","Taekwondo"
"Men -68kg","Taekwondo"
"Men -80kg","Taekwondo"
"Men +80kg","Taekwondo"
"Women -49kg","Taekwondo"
"Women -57kg","Taekwondo"
"Women -67kg","Taekwondo"
"Women +67kg","Taekwondo"
"Men's Singles","Tennis"
"Women's Singles","Tennis"
"Men's Doubles","Tennis"
"Women's Doubles","Tennis"
"Mixed Doubles","Tennis"
"Men","Trampoline Gymnastics"
"Women","Trampoline Gymnastics"
"Women's Individual","Triathlon"
"Men's Individual","Triathlon"
"Mixed Relay","Triathlon"
"Men","Volleyball"
"Women","Volleyball"
"Men","Water Polo"
"Women","Water Polo"
"Women's 49kg","Weightlifting"
"Women's 59kg","Weightlifting"
"Women's 71kg","Weightlifting"
"Women's 81kg","Weightlifting"
"Women's +81kg","Weightlifting"
"Men's 61kg","Weightlifting"
"Men's 73kg","Weightlifting"
"Men's 89kg","Weightlifting"
"Men's 102kg","Weightlifting"
"Men's +102kg","Weightlifting"
"Men's Greco-Roman 60kg","Wrestling"
"Men's Greco-Roman 67kg","Wrestling"
"Men's Greco-Roman 77kg","Wrestling"
"Men's Greco-Roman 87kg","Wrestling"
"Men's Greco-Roman 97kg","Wrestling"
"Men's Greco-Roman 130kg","Wrestling"
"Women's Freestyle 50kg","Wrestling"
"Women's Freestyle 53kg","Wrestling"
"Women's Freestyle 57kg","Wrestling"
"Women's Freestyle 62kg","Wrestling"
"Women's Freestyle 68kg","Wrestling"
"Women's Freestyle 76kg","Wrestling"
"Men's Freestyle 57kg","Wrestling"
"Men's Freestyle 65kg","Wrestling"
"Men's Freestyle 74kg","Wrestling"
"Men's Freestyle 86kg","Wrestling"
"Men's Freestyle 97kg","Wrestling"
"Men's Freestyle 125kg","Wrestling"
